epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2075.03,1.36392,3.96627,1.56204,0.79629,0.69709,0.74659,0.4474,1.422,3.06368,1.47327,0.000840286,0.000840286,0.000840286
43,2123.96,1.36623,3.95918,1.56244,0.81325,0.69773,0.74597,0.44611,1.41306,3.07012,1.45755,0.000812,0.000812,0.000812
44,2173.24,1.35753,3.90864,1.55331,0.81218,0.70226,0.75742,0.44582,1.42317,2.97785,1.46453,0.000783714,0.000783714,0.000783714
45,2223,1.34553,3.94239,1.55271,0.78241,0.70934,0.7531,0.45026,1.40174,2.99169,1.45618,0.000755429,0.000755429,0.000755429
46,2272.52,1.34664,3.89977,1.54718,0.80145,0.69587,0.75165,0.44841,1.40123,3.03655,1.45509,0.000727143,0.000727143,0.000727143
47,2321.71,1.35074,3.86769,1.54819,0.80469,0.70009,0.75212,0.44912,1.40897,2.97832,1.46234,0.000698857,0.000698857,0.000698857
48,2369.87,1.33915,3.88275,1.54025,0.8335,0.69002,0.75279,0.45153,1.40323,2.99662,1.45988,0.000670571,0.000670571,0.000670571
49,2419.06,1.33918,3.83767,1.54072,0.77413,0.7232,0.7602,0.45719,1.39572,2.95966,1.44462,0.000642286,0.000642286,0.000642286
50,2469.24,1.33579,3.84588,1.53648,0.80685,0.71222,0.76323,0.45521,1.39939,2.83984,1.45303,0.000614,0.000614,0.000614
51,2518.1,1.33088,3.765,1.53118,0.79402,0.71959,0.76209,0.45439,1.39979,2.93695,1.45133,0.000585714,0.000585714,0.000585714
52,2566.87,1.32985,3.79461,1.53066,0.79485,0.72096,0.75722,0.44968,1.38891,2.95231,1.4415,0.000557429,0.000557429,0.000557429
53,2615.95,1.32617,3.78644,1.53388,0.7983,0.71178,0.75343,0.45429,1.38887,2.95084,1.44108,0.000529143,0.000529143,0.000529143
54,2662.48,1.33271,3.7722,1.53434,0.80587,0.7097,0.75231,0.45125,1.39349,3.00318,1.44728,0.000500857,0.000500857,0.000500857
55,2709.54,1.32385,3.77881,1.52933,0.80535,0.71735,0.75273,0.44812,1.38877,2.92049,1.43556,0.000472571,0.000472571,0.000472571
56,2756.72,1.31556,3.72217,1.52142,0.79813,0.71192,0.75694,0.45814,1.37795,2.89679,1.43387,0.000444286,0.000444286,0.000444286
57,2803.91,1.31762,3.69094,1.52077,0.7981,0.69573,0.75171,0.4527,1.37678,2.94707,1.43342,0.000416,0.000416,0.000416
58,2852.16,1.30491,3.69702,1.51895,0.80044,0.71259,0.76025,0.45246,1.38391,2.90583,1.44304,0.000387714,0.000387714,0.000387714
59,2900.19,1.30575,3.68701,1.51797,0.80961,0.70872,0.75679,0.45063,1.38298,2.88453,1.44168,0.000359429,0.000359429,0.000359429
60,2949.45,1.30017,3.65089,1.51303,0.8001,0.7117,0.75973,0.45127,1.39739,2.85877,1.44228,0.000331143,0.000331143,0.000331143
61,3004.73,1.23039,2.67436,1.47488,0.83151,0.70839,0.75703,0.45143,1.39978,2.90701,1.45585,0.000302857,0.000302857,0.000302857
62,3049.92,1.20886,2.52865,1.45944,0.83516,0.69815,0.75859,0.45034,1.3895,2.87534,1.44767,0.000274571,0.000274571,0.000274571
63,3097.39,1.19583,2.49063,1.45418,0.79661,0.70686,0.75319,0.45075,1.38529,2.87702,1.44994,0.000246286,0.000246286,0.000246286
64,3143.98,1.18791,2.45883,1.45024,0.79398,0.73361,0.75674,0.45359,1.38691,2.89154,1.45568,0.000218,0.000218,0.000218
65,3190.46,1.18639,2.43255,1.44458,0.80217,0.73429,0.75771,0.45848,1.38553,2.87037,1.45509,0.000189714,0.000189714,0.000189714
66,3237.09,1.17911,2.404,1.44165,0.82709,0.7241,0.76113,0.45077,1.39263,2.87284,1.46368,0.000161429,0.000161429,0.000161429
67,3283.71,1.17205,2.38508,1.43182,0.80196,0.73216,0.75841,0.45371,1.38644,2.88817,1.45617,0.000133143,0.000133143,0.000133143
68,3330.46,1.17361,2.36588,1.43203,0.81424,0.72585,0.76167,0.45561,1.38972,2.86492,1.45902,0.000104857,0.000104857,0.000104857
69,3377.5,1.16398,2.3564,1.42425,0.81637,0.71427,0.75598,0.45634,1.38785,2.86408,1.45481,7.65714e-05,7.65714e-05,7.65714e-05
70,3424.96,1.15901,2.33349,1.41669,0.82498,0.71961,0.75638,0.4551,1.38682,2.87678,1.45552,4.82857e-05,4.82857e-05,4.82857e-05
