epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.577,1.84445,2.40264,2.07217,0.29812,0.32911,0.25708,0.09489,2.11671,3.60413,2.27849,0.00332172,0.00332172,0.0701045
2,176.81,1.8062,2.34416,2.03948,0.51885,0.37153,0.39297,0.17428,2.02482,2.30837,2.11459,0.00652328,0.00652328,0.0399728
3,247.956,1.75461,2.25353,1.99238,0.40007,0.35783,0.32256,0.12795,2.17991,2.34578,2.23391,0.00959285,0.00959285,0.00970899
4,321.028,1.73405,2.18225,1.96543,0.59609,0.46755,0.51199,0.24337,1.84196,2.18703,1.96462,0.009406,0.009406,0.009406
5,395.759,1.69164,2.08094,1.91022,0.62902,0.51882,0.53156,0.24012,1.91802,1.82853,1.98093,0.009208,0.009208,0.009208
6,470.651,1.65525,2.01612,1.87908,0.58834,0.46462,0.49874,0.25042,1.79372,1.82726,1.9216,0.00901,0.00901,0.00901
7,545.784,1.63572,1.97324,1.86218,0.61621,0.52775,0.54962,0.284,1.71541,1.6383,1.78316,0.008812,0.008812,0.008812
8,621.034,1.61977,1.94166,1.8458,0.6203,0.46785,0.5412,0.28265,1.71521,1.74399,1.8068,0.008614,0.008614,0.008614
9,695.883,1.58661,1.87384,1.81368,0.6845,0.54872,0.60329,0.32284,1.67195,1.55806,1.79082,0.008416,0.008416,0.008416
10,770.716,1.57885,1.84702,1.80361,0.70196,0.56544,0.62657,0.34336,1.64503,1.47446,1.75621,0.008218,0.008218,0.008218
11,846.346,1.56246,1.81411,1.79001,0.72807,0.57273,0.65036,0.35891,1.59237,1.48809,1.69755,0.00802,0.00802,0.00802
12,921.551,1.53995,1.78179,1.77539,0.72902,0.5821,0.64615,0.35884,1.58024,1.3935,1.70308,0.007822,0.007822,0.007822
13,996.357,1.53575,1.76619,1.76119,0.64072,0.58106,0.63801,0.34642,1.59724,1.52325,1.68027,0.007624,0.007624,0.007624
14,1071.55,1.52616,1.75615,1.7608,0.73672,0.602,0.66101,0.36649,1.5696,1.37034,1.68414,0.007426,0.007426,0.007426
15,1147.35,1.51871,1.72999,1.75152,0.72935,0.61817,0.66688,0.37628,1.5557,1.28797,1.65788,0.007228,0.007228,0.007228
16,1222.88,1.49371,1.69466,1.72783,0.73776,0.58902,0.66631,0.37373,1.59444,1.33417,1.65198,0.00703,0.00703,0.00703
17,1297.78,1.49302,1.67223,1.72177,0.71507,0.63807,0.69189,0.38245,1.56485,1.26723,1.64771,0.006832,0.006832,0.006832
18,1373.37,1.49355,1.65999,1.72433,0.73987,0.57469,0.66763,0.37678,1.54016,1.32352,1.62142,0.006634,0.006634,0.006634
19,1448.08,1.46676,1.63366,1.70977,0.73109,0.62856,0.69321,0.38886,1.52728,1.23957,1.62766,0.006436,0.006436,0.006436
20,1523.93,1.46942,1.63811,1.70457,0.7939,0.63008,0.71225,0.41047,1.51154,1.21113,1.61686,0.006238,0.006238,0.006238
21,1599.48,1.46247,1.61601,1.69878,0.75035,0.62522,0.69233,0.40094,1.51779,1.26437,1.6004,0.00604,0.00604,0.00604
22,1674.56,1.45459,1.60242,1.69193,0.75534,0.61918,0.70468,0.40444,1.50819,1.22599,1.60333,0.005842,0.005842,0.005842
23,1749.86,1.44696,1.57212,1.67994,0.73626,0.6543,0.70426,0.40885,1.48645,1.20346,1.58565,0.005644,0.005644,0.005644
24,1825.43,1.43016,1.5476,1.66744,0.75996,0.64438,0.72121,0.41167,1.49836,1.17662,1.58661,0.005446,0.005446,0.005446
25,1900.84,1.42599,1.54697,1.66682,0.74558,0.66107,0.7254,0.42995,1.45491,1.13181,1.55376,0.005248,0.005248,0.005248
26,1976.38,1.4138,1.52883,1.64963,0.74575,0.66738,0.72107,0.42238,1.46874,1.1268,1.56696,0.00505,0.00505,0.00505
27,2051.58,1.41169,1.51653,1.65297,0.7539,0.63693,0.72952,0.42509,1.47462,1.13702,1.5579,0.004852,0.004852,0.004852
28,2126.49,1.40069,1.48236,1.63751,0.75681,0.66203,0.73494,0.42981,1.4676,1.10917,1.55666,0.004654,0.004654,0.004654
29,2201.54,1.3904,1.47833,1.6324,0.74534,0.69262,0.74946,0.44536,1.41979,1.07044,1.52971,0.004456,0.004456,0.004456
30,2277.35,1.38991,1.47341,1.63922,0.77854,0.65932,0.73769,0.44467,1.42753,1.07717,1.52315,0.004258,0.004258,0.004258
31,2352.64,1.39012,1.47139,1.63635,0.76719,0.68987,0.75057,0.44842,1.43618,1.0604,1.54102,0.00406,0.00406,0.00406
32,2428.08,1.37413,1.44562,1.62768,0.79282,0.67067,0.74936,0.43934,1.43008,1.06125,1.526,0.003862,0.003862,0.003862
33,2502.58,1.3624,1.4307,1.60942,0.80326,0.67989,0.76101,0.45044,1.41075,1.02363,1.50861,0.003664,0.003664,0.003664
34,2577.86,1.36343,1.42097,1.61105,0.81229,0.67538,0.75667,0.45238,1.40194,1.02456,1.49998,0.003466,0.003466,0.003466
35,2653.22,1.348,1.40031,1.59857,0.82011,0.68248,0.75847,0.45414,1.40182,1.02232,1.50468,0.003268,0.003268,0.003268
36,2728.83,1.34717,1.39594,1.59595,0.82097,0.67179,0.75731,0.45978,1.39654,1.01178,1.50021,0.00307,0.00307,0.00307
37,2804.71,1.33826,1.36335,1.58624,0.81743,0.69177,0.76388,0.46008,1.40225,0.99017,1.49422,0.002872,0.002872,0.002872
38,2880.63,1.32694,1.341,1.57574,0.82081,0.66571,0.75664,0.45909,1.39935,1.01263,1.48991,0.002674,0.002674,0.002674
39,2955.87,1.3271,1.33459,1.57653,0.7874,0.69899,0.76522,0.46798,1.39279,1.00333,1.48568,0.002476,0.002476,0.002476
40,3031.6,1.30847,1.32339,1.56685,0.79456,0.69441,0.75757,0.47029,1.36968,0.97736,1.47814,0.002278,0.002278,0.002278
41,3107.51,1.32248,1.08718,1.61045,0.81406,0.69625,0.77563,0.47577,1.36192,0.97132,1.46564,0.00208,0.00208,0.00208
42,3181.36,1.28784,1.04613,1.58591,0.79528,0.69958,0.76592,0.46693,1.36114,0.9798,1.47186,0.001882,0.001882,0.001882
43,3255.33,1.29205,1.02174,1.58372,0.82343,0.70345,0.76585,0.46398,1.35489,0.96159,1.46894,0.001684,0.001684,0.001684
44,3329.94,1.26086,0.9976,1.56339,0.84467,0.69351,0.77944,0.47758,1.34848,0.9532,1.46349,0.001486,0.001486,0.001486
45,3404.71,1.25272,0.98432,1.55927,0.82004,0.69627,0.77469,0.48193,1.33803,0.94528,1.44968,0.001288,0.001288,0.001288
46,3479.24,1.22997,0.96234,1.54184,0.81774,0.70937,0.77401,0.48228,1.33629,0.93968,1.45114,0.00109,0.00109,0.00109
47,3553,1.22093,0.94534,1.53117,0.8339,0.69872,0.77477,0.47988,1.34007,0.93698,1.45722,0.000892,0.000892,0.000892
48,3626.63,1.20676,0.92246,1.52123,0.81677,0.70328,0.77183,0.47838,1.33935,0.93689,1.4561,0.000694,0.000694,0.000694
49,3700.68,1.19952,0.90485,1.50736,0.79863,0.71472,0.7713,0.48115,1.33725,0.92262,1.4567,0.000496,0.000496,0.000496
50,3774.68,1.18095,0.89779,1.50024,0.82964,0.69407,0.77027,0.48183,1.33563,0.92375,1.45777,0.000298,0.000298,0.000298
